year_built;volume_interior;volume_other;lot_size;taxable_value
1987;285;100;187;159000
1915;212;82;223;40000
1980;232;13;100;122500
1992;639;223;488;435000
1980;283;49;155;165000
1935;813;77;823;465000
1935;334;0;78;107500
1969;313;32;152;118000
1915;307;40;180;134000
1991;274;22;149;180000
1979;166;11;100;90000
1959;267;19;94;115000
1989;480;50;304;365000
1925;476;0;310;95000
1991;386;119;233;242500
1938;351;25;270;76000
1959;385;44;290;168000
1966;199;15;100;105000
1900;374;30;265;70000
1908;355;22;102;70000
1979;365;52;227;213000
1964;321;23;193;125000
1963;212;20;100;79000
1983;271;20;176;147500
1980;496;58;255;194000
1989;367;139;241;229500
1988;284;84;283;204000
1991;274;22;149;180000
1925;409;43;248;245000
1981;298;27;159;140000
1915;342;50;441;210000
1979;417;81;226;242000
1928;335;29;100;136500
1973;296;68;98;170000
1964;251;17;137;105000
1964;277;14;150;90000
1972;425;61;253;191000
1978;386;27;100;145000
1927;366;0;151;130000
1971;326;31;153;133000
1894;200;0;112;75000
1962;331;26;237;150000
1977;465;52;368;320000
1987;433;117;430;307500
1925;350;19;153;77000
1915;447;0;204;125000
1972;377;50;124;141000
1937;372;0;191;145000
1928;327;21;87;100000
1991;298;77;143;155000
1966;893;131;1086;590000
1963;138;14;100;58000
1989;346;119;221;210000
1986;298;84;238;170500
1966;240;15;100;90000
1939;470;56;149;207500
1979;462;196;559;275000
1973;351;25;174;140000
1965;225;26;100;119000
1965;225;13;100;92500
1983;283;20;144;132500
1947;350;18;249;125000
1974;277;27;157;130000
1924;370;25;245;142500
1930;390;129;304;132500
1963;319;14;100;118000
1961;331;29;147;115000
1962;279;20;125;100000
1973;456;23;158;157000
1989;295;78;142;145500
1980;294;23;159;140000
1982;349;20;151;158000
1979;411;69;205;182000
1972;425;61;253;225000
1972;327;26;128;155000
1909;350;50;229;135000
1975;277;38;130;128000
1979;245;18;100;102500
1907;266;24;125;110000
1956;354;13;148;130000
1981;304;27;163;179600
1972;452;54;284;247500
1962;334;68;152;153500
1915;181;45;165;130000
1978;357;18;159;147000
1970;372;71;316;200000
1976;384;31;185;165000
1979;359;28;140;160000
1987;301;91;232;190000
1963;185;20;100;69500
1915;441;30;162;110000
1959;341;33;143;135000
1980;651;54;488;370000
1962;362;18;191;147000
1941;372;22;160;95000
1956;304;25;144;130000
1983;345;58;302;210000
1980;155;9;100;74000
1979;413;29;200;240000
1983;265;20;167;122000
1989;380;108;241;270000
1983;240;45;189;155000
1931;316;93;363;148000
1965;225;26;100;105000
1981;354;23;171;145000
1941;324;15;125;119000
1965;225;26;100;142500
1964;321;23;177;130000
1966;208;15;100;89500
1979;361;20;183;167500
1975;354;21;182;139000
1978;418;29;100;240000
1900;297;0;131;108000
1980;949;105;885;550000
1991;274;22;149;187500
1979;162;12;100;82500
1984;349;50;265;210000
1980;549;92;450;380000
1965;225;26;100;107000
1979;417;69;235;210000
1915;319;18;184;118000
1986;333;58;167;165000
1918;262;18;225;105000
1971;361;61;158;149000
1972;420;58;271;255000
1987;301;91;232;204000
1974;357;26;203;160000
1959;401;34;259;160000
